CurveId;CurveName;CountryCode;CountryName;FuelType;EPSI FuelType
910000112;EntsoE_ActualGeneration_AT_Biomass_PROD;AT;Austria;BIOMASS;ST-Biomass
106952877;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;Thermal;CH4;B04;FossilGas";ES;Spain;GAS;CCGT
106952878;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;PwrGen.Solar;;B16;Solar";ES;Spain;SOLAR;Solar
106952879;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;Res;;B12;HydroWaterReservoir";ES;Spain;HYDRO-RESERVOIR;Hydro-Res
106952880;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;Thermal;Coal.Bit;B05;FossilHardcoal";ES;Spain;COAL;ST-Coal
106952881;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;RoR;;B11;HydroRun-of-riverandpoundage";ES;Spain;HYDRO-RUN-OF-RIVER;Hydro-RoR
106952883;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;Thermal;oil;B06;FossilOil";ES;Spain;OIL;ST-Oil
106952886;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;nuc;Nuclearfuel;B14;Nuclear";ES;Spain;NUCLEAR;ST-Nuclear
106952887;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;PwrGen;Garbage;B17;Waste";ES;Spain;WASTE;ST-Waste
106952888;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;PwrGen.Wind.Onsh;;B19;WindOnshore";ES;Spain;WIND-ONSHORE;Wind
106952890;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;PwrGen;;B15;Otherrenewable";ES;Spain;RENEWABLE;ST-Biomass
106952891;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;PwrGen;;B20;Other";ES;Spain;OTHER;Engine
106952893;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;Thermal;Lignite;B02;FossilBrowncoal/Lignite";ES;Spain;LIGNITE;ST-Lignite
106952894;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;PwrGen.Wind.Offsh;;B18;WindOffshore";ES;Spain;WIND-OFFSHORE;Wind
106952896;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10YES-REE------0;PRO;H.1;MW;Thermal;Biomass;B01;Biomass";ES;Spain;BIOMASS;ST-Biomass
910002991;ENTSOE_ActualGeneration_CZ_THERMAL_BIOMASS_PROD;CZ;Czech Republic;BIOMASS;ST-Biomass
910002992;ENTSOE_ActualGeneration_CZ_THERMAL_LIGNITE_PROD;CZ;Czech Republic;LIGNITE;ST-Lignite
910002993;ENTSOE_ActualGeneration_CZ_THERMAL_COAL-AND-GAS_PROD;CZ;Czech Republic;COAL-AND-GAS;CCGT
910002994;ENTSOE_ActualGeneration_CZ_THERMAL_GAS_PROD;CZ;Czech Republic;GAS;CCGT
910002995;ENTSOE_ActualGeneration_CZ_THERMAL_COAL_PROD;CZ;Czech Republic;COAL;ST-Coal
910002996;ENTSOE_ActualGeneration_CZ_THERMAL_OIL_PROD;CZ;Czech Republic;OIL;ST-Oil
910002997;ENTSOE_ActualGeneration_CZ_HYDRO-PUMPED-STORAGE__PROD;CZ;Czech Republic;HYDRO-PUMPED-STORAGE;Hydro-PS
